1	76695		
2	62850		
3	70351		 
4	71116		
5	74205		
6	77355		
7	80929		 
8	71896		
9	72762		
10	70475		
11	67056		
12	71909		
13	76390		
14	75776		
15	83743		
16	81739		
17	84733		
18	89896		
19	87302		
20	87855		
21	82637		
22	82286		
23	77340		
24	78316		
25	81289		
26	66417		
27	87740		
28	77866		
29	92630		
30	89454		
31	92438		
32	92970		
33	84045		
34	88164		
35	83974		
36	88994		
37	98068		
38	84125		
39	94214		
40	97065		
41	102854		
42	105143		
43	109938		
44	105770		
45	93197		
46	99823		
47	93675		
48	91912		
49	107114		
50	90758		
51	95762		
52	103674		
53	110848		
54	103414		
55	119554		
56	107646		
57	104444		
58	104781		
59	95587		
60	97204		
61	108854		
62	91596		
63	104680		
64	112461		
65	129429		
66	128847		
67	121487		
